,animal,day,session,cell,gridness,coherence,spatial info,field number,field radius,field spacing,exposure number
111,PL68,2019-4-22a,1m floor s4,TT2_SS_03.txt,-0.574210315,0.582925444,0.506168536,4,11.69057127,59.87047615,1
112,PL68,2019-5-6,1m floor s4,TT2_SS_04.txt,0.241699305,0.167210936,0.265726644,6,12.65611519,54.98821814,3
113,PL73,2019-10-28,1m floor s4,TT1_SS_02.txt,0.003190942,0.322577477,0.274359229,2,17.28091601,77.36833648,2
114,PL73,2019-10-28,1m floor s4,TT1_SS_04.txt,-0.254812669,0.138363584,0.224294206,1,12.70725121,,2
115,PL73,2019-10-28,1m floor s4,TT2_SS_01.txt,-0.551838011,0.407651769,0.744648731,2,11.28842156,82.13970519,2
116,PL76,2019-12-10,1m floor s4,TT1_SS_05.txt,0.424961258,0.269334009,0.554906168,4,13.28727387,65.32608786,4
117,PL76,2019-12-10,1m floor s4,TT1_SS_06.txt,0.654903449,0.258089815,0.473677578,4,10.75897882,61.05547597,4
118,PL76,2019-12-10,1m floor s4,TT2_SS_01.txt,1.21309106,0.575939225,0.869149026,4,11.54404086,68.40173946,4
119,PL76,2019-12-10,1m floor s4,TT2_SS_02.txt,1.189397039,0.463074077,1.044898891,3,11.2163824,62.57527662,4
120,PL76,2019-12-10,1m floor s4,TT3_SS_07.txt,-0.33687352,0.462460539,0.882091057,2,15.68764786,55.49249915,4
121,PL76,2019-12-10,1m floor s4,TT3_SS_09.txt,1.101976803,0.643743303,0.967038573,3,12.44947085,59.37584718,4
122,PL76,2019-12-10,1m floor s4,TT3_SS_11.txt,0.791413767,0.287157145,0.422662438,3,11.07089787,68.64623816,4
123,PL76,2019-12-10,1m floor s4,TT3_SS_14.txt,1.12074389,0.371357593,0.483989964,3,13.08440281,58.8651147,4
124,PL76,2019-12-11,1m floor s4,TT1_SS_03.txt,1.133288949,0.639643914,1.202827701,3,12.42339863,63.92417136,5
125,PL76,2019-12-11,1m floor s4,TT1_SS_04.txt,0.703493309,0.617215742,0.856188271,3,12.52736194,61.01913707,5
126,PL76,2019-12-11,1m floor s4,TT1_SS_07.txt,0.699092903,0.388286406,0.589098006,3,12.75818228,58.61851306,5
127,PL76,2019-12-11,1m floor s4,TT2_SS_05.txt,0.827470663,0.627189291,0.769592855,3,10.34412867,66.24722218,5
128,PL76,2019-12-11,1m floor s4,TT3_SS_10.txt,0.870597766,0.637019235,0.862524778,2,14.56216067,63.8347257,5
129,PL76,2019-12-11,1m floor s4,TT3_SS_12.txt,0.524026643,0.757077834,1.457668767,1,8.368812156,,5
130,PL76,2019-12-11,1m floor s4,TT3_SS_14.txt,1.278455355,0.455943872,0.408797846,2,10.89375207,58.39319847,5
131,PL76,2019-12-13,1m floor s4,TT1_SS_01.txt,-0.610781769,0.624311003,0.50633223,1,14.76119716,,6
132,PL76,2019-12-13,1m floor s4,TT1_SS_02.txt,1.502494388,0.687712167,0.975719365,2,13.63057747,65.94678912,6
133,PL76,2019-12-13,1m floor s4,TT1_SS_03.txt,0.587299923,0.588936074,0.577437161,3,13.0098472,63.45031282,6
134,PL76,2019-12-13,1m floor s4,TT2_SS_03.txt,1.259907304,0.685271564,1.299260228,3,12.52736194,62.36026869,6
135,PL76,2019-12-19,1m floor s4,TT3_SS_02.txt,1.288242038,0.646041911,0.788042822,3,12.95990518,60.77630956,7
136,PL76,2019-12-4,1m floor s4,TT3_SS_05.txt,-0.431527474,0.63873328,1.172442304,2,10.48423612,74.69279486,1
137,PL76,2019-12-4,1m floor s4,TT4_SS_03.txt,-0.13849164,0.212339028,0.424466935,1,8.012527618,,1
138,PL76,2019-12-5,1m floor s4,TT4_SS_01.txt,0.738820942,0.625435216,1.246969155,1,14.49520785,,2
139,PL76,2019-12-5,1m floor s4,TT4_SS_05.txt,1.554311953,0.579551674,1.092497554,3,10.34412867,66.92801102,2
140,PL76,2019-12-6,1m floor s4,TT3_SS_08.txt,0.700713463,0.418634889,0.607230097,1,13.45098362,,3
141,PL76,2019-12-6,1m floor s4,TT4_SS_04.txt,-0.61744879,0.593612507,0.752292778,3,11.24525344,58.58425904,3
142,PL76,2020-1-13,1m floor s4,TT2_SS_01.txt,0.981065855,0.52255675,0.264152489,5,13.68044126,53.88407525,11
143,PL76,2020-1-13,1m floor s4,TT2_SS_02.txt,1.536506591,0.604281098,0.809742794,3,10.80409004,64.51144236,11
144,PL76,2020-1-13,1m floor s4,TT2_SS_03.txt,0.246899827,0.404082202,0.406106114,2,14.92503344,52.72633688,11
145,PL76,2020-1-13,1m floor s4,TT2_SS_04.txt,1.005097887,0.712167337,0.89453996,3,12.44947085,64.0227838,11
146,PL87,2021-2-19,1m floor s4,TT2_SS_02.txt,0.614061432,0.705267586,0.685867738,2,12.70725121,49.54547813,1
147,PL87,2021-2-19,1m floor s4,TT2_SS_03.txt,0.915565983,0.609025019,0.924971232,2,11.669751,53.26158631,1
148,SSW103,2016-3-11,1m floor s4,TT4_SS_03.txt,-0.591511149,0.500124314,1.14082045,2,12.63046954,70.88441289,1
149,SSW103,2016-3-11,1m floor s4,TT4_SS_04.txt,1.353068794,0.563327789,1.223338628,3,12.07933988,63.31266801,1
150,SSW103,2016-3-11,1m floor s4,TT4_SS_05.txt,1.592279527,0.599373886,0.896637943,2,12.35797744,66.57590549,1
151,SSW103,2016-3-13,1m floor s4,TT4_SS_02.txt,1.004667915,0.402966434,0.411189736,3,14.06377345,63.531808,2
152,SSW103,2016-3-13,1m floor s4,TT4_SS_03.txt,1.112646719,0.529040121,0.541280266,5,10.34412867,45.77477101,2
153,SSW103,2016-3-13,1m floor s4,TT4_SS_04.txt,0.654246913,0.50014072,0.538905965,3,11.91719373,70.0849387,2
154,SSW103,2016-3-16,1m floor s4,TT4_SS_01.txt,1.396320608,0.749101396,1.322248292,2,12.35797744,73.2129628,3
155,SSW103,2016-3-25,1m floor s4,TT2_SS_01.txt,0.113531994,0.598391686,1.113757856,2,12.35797744,67.6699829,4
156,SSW103,2016-3-30,1m floor s4,TT2_SS_01.txt,-0.201939447,0.605863737,0.853684321,1,21.47270425,,5
157,SSW103,2016-4-8,1m floor s4,TT2_SS_03.txt,-0.037919488,0.205401513,0.675728135,2,13.55902538,46.49501772,6
158,SSW108,2016-3-12,1m floor s4,TT4_SS_01.txt,1.079946649,0.711750618,0.669096081,3,12.26580157,42.50171324,1
159,AM8,2021-4-6,1.2m s1,TT1_SS_06.txt,0.624778833,0.297169247,0.209735803,3,13.18120428,100,1
160,AM8,2021-4-6,1.2m s1,TT2_SS_04.txt,0.655112587,0.155642512,0.296665353,5,16.36392959,83.75,1
161,AM8,2021-4-6,1.2m s1,TT2_SS_06.txt,1.314667708,0.545019008,0.641450534,4,12.37685876,65,1
162,AM8,2021-4-9,1.2m s1,TT2_SS_01.txt,0.872060397,0.612486222,1.351994603,4,11.41525776,60,2
163,PL68,2019-4-22a,1.2m s1,TT1_SS_01.txt,0.686709081,0.308289842,0.424897398,3,11.82893574,106.25,1
164,PL68,2019-4-22a,1.2m s1,TT2_SS_03.txt,1.070881028,0.572361542,0.477360301,10,9.933582673,35,1
165,PL68,2019-5-6,1.2m s1,TT2_SS_04.txt,0.870905638,0.26023124,0.260897998,4,12.39693478,36.25,3
166,PL73,2019-10-28,1.2m s1,TT1_SS_02.txt,0.974232321,0.496228998,0.29198634,3,14.54453317,91.25,2
167,PL73,2019-10-28,1.2m s1,TT1_SS_04.txt,0.518358533,0.318066061,0.279746302,3,13.72345982,96.25,2
168,PL73,2019-10-28,1.2m s1,TT2_SS_01.txt,0.861336046,0.335473749,0.769132418,3,16.22556014,80,2
