,animal,day,session,cell,gridness,coherence,spatial info,field number,field radius,field spacing,exposure number
64,PL73,2019-10-28,1m floor s4,TT3_SS_01.txt,0.631047468,0.276016422,0.670281722,1,18.39870236,,2
65,PL73,2019-10-28,1m floor s4,TT3_SS_03.txt,-0.521282392,0.342038653,0.60921312,2,9.356616436,65.33775805,2
66,PL76,2019-12-11,1m floor s4,TT3_SS_08.txt,-0.464814651,0.183555223,0.398476941,2,16.50352013,47.55616837,5
67,PL76,2019-12-11,1m floor s4,TT3_SS_13.txt,-0.424282404,0.21451512,0.354670404,2,20.23664996,53.58060564,5
68,PL76,2019-12-13,1m floor s4,TT3_SS_02.txt,-0.265143282,0.422414386,0.242178212,1,28.44849099,,6
69,PL76,2019-12-13,1m floor s4,TT3_SS_04.txt,1.07151614,0.700545935,0.730874968,2,14.05224104,65.08865452,6
70,PL76,2019-12-4,1m floor s4,TT3_SS_01.txt,-0.197045542,0.52601627,0.402523636,2,19.84838079,75.7876136,1
71,PL76,2019-12-4,1m floor s4,TT3_SS_02.txt,-0.340763378,0.282134951,0.319513321,3,18.43391521,54.24160197,1
72,PL76,2019-12-5,1m floor s4,TT1_SS_01.txt,0.021442254,0.61833667,1.068032777,2,12.70725121,62.36168797,2
73,PL76,2019-12-6,1m floor s4,TT4_SS_02.txt,-0.314945261,0.405320034,0.784338007,2,11.28842156,29.80483037,3
74,PL87,2021-2-19,1m floor s4,TT2_SS_04.txt,-0.380648837,0.550996512,0.487105523,1,34.56183202,,1
75,AM8,2021-4-13,1m passive raised s5,TT1_SS_07.txt,0.365142887,0.188629787,0.541925105,2,13.40209258,65.36822559,3
76,AM8,2021-4-13,1m passive raised s5,TT4_SS_08.txt,0.060110128,0.177071763,0.456606043,5,11.09287627,55.63426552,3
77,AM8,2021-4-13,1m passive raised s5,TT4_SS_09.txt,-0.320650404,0.263302496,0.254881243,4,16.24703607,54.96178839,3
78,AM8,2021-4-6,1m passive raised s5,TT1_SS_02.txt,-0.058980377,0.47864217,0.745629154,2,10.16100449,31.01154094,1
79,AM8,2021-4-6,1m passive raised s5,TT1_SS_03.txt,0.064825709,0.356110245,0.900889419,1,14.36983035,,1
80,AM8,2021-4-6,1m passive raised s5,TT1_SS_08.txt,-0.057484717,0.145335548,0.192063081,3,23.47993253,43.97524291,1
81,AM8,2021-4-6,1m passive raised s5,TT2_SS_01.txt,-0.112933003,0.249758167,0.419417802,4,9.556830582,52.38903463,1
82,AM8,2021-4-9,1m passive raised s5,TT1_SS_01.txt,-0.083314932,0.207216495,0.389562042,3,16.61608896,63.66394638,2
83,AM8,2021-4-9,1m passive raised s5,TT1_SS_07.txt,-0.532008552,0.152585595,0.352739093,3,19.28985392,55.03682825,2
84,AM8,2021-4-9,1m passive raised s5,TT1_SS_12.txt,-0.102810645,0.135639126,0.125546856,1,45.77703273,,2
85,PL73,2019-10-21,1m passive raised s5,TT1_SS_02.txt,0.97860638,0.164353843,0.433377529,3,9.964195464,67.8893427,1
86,PL73,2019-10-21,1m passive raised s5,TT1_SS_06.txt,-0.455730411,0.195848439,0.531950976,1,25.32552735,,1
87,PL73,2019-10-21,1m passive raised s5,TT1_SS_07.txt,-0.014435602,0.233250053,0.738117763,3,10.19404239,44.02826099,1
88,PL73,2019-10-21,1m passive raised s5,TT1_SS_09.txt,0.16010441,0.095282088,0.242159504,0,,,1
